All Ages,1.0
Under 5,0.06480419196190812
5-9,0.058168308858865876
10-14,0.054700619243674475
15-19,0.05469441146317035
20-24,0.06890261550190549
25-29,0.09422192674748728
30-34,0.0853845069962272
35-39,0.07324607067991477
40-44,0.06442985108471594
45-49,0.06478521723659363
50-54,0.06482902308392463
55-59,0.062165533863852596
60-64,0.05437617486638338
65-69,0.045522591460225754
70-74,0.031143614893660135
75-79,0.023415279549825814
80-84,0.016324003039235632
85 & over,0.018886059468428928
